UID         PID   PPID    LWP  C NLWP STIME TTY          TIME CMD
root          1      0      1  0    1 11:32 ?        00:00:04 /sbin/init auto noprompt
root          2      0      2  0    1 11:32 ?        00:00:00 [kthreadd]
root          4      2      4  0    1 11:32 ?        00:00:00 [kworker/0:0H]
root          6      2      6  0    1 11:32 ?        00:00:00 [mm_percpu_wq]
root          7      2      7  0    1 11:32 ?        00:00:02 [ksoftirqd/0]
root          8      2      8  0    1 11:32 ?        00:00:03 [rcu_sched]
root          9      2      9  0    1 11:32 ?        00:00:00 [rcu_bh]
root         10      2     10  0    1 11:32 ?        00:00:00 [migration/0]
root         11      2     11  0    1 11:32 ?        00:00:00 [watchdog/0]
root         12      2     12  0    1 11:32 ?        00:00:00 [cpuhp/0]
root         13      2     13  0    1 11:32 ?        00:00:00 [kdevtmpfs]
root         14      2     14  0    1 11:32 ?        00:00:00 [netns]
root         15      2     15  0    1 11:32 ?        00:00:00 [rcu_tasks_kthre]
root         16      2     16  0    1 11:32 ?        00:00:00 [kauditd]
root         17      2     17  0    1 11:32 ?        00:00:00 [khungtaskd]
root         18      2     18  0    1 11:32 ?        00:00:00 [oom_reaper]
root         19      2     19  0    1 11:32 ?        00:00:00 [writeback]
root         20      2     20  0    1 11:32 ?        00:00:00 [kcompactd0]
root         21      2     21  0    1 11:32 ?        00:00:00 [ksmd]
root         22      2     22  0    1 11:32 ?        00:00:00 [khugepaged]
root         23      2     23  0    1 11:32 ?        00:00:00 [crypto]
root         24      2     24  0    1 11:32 ?        00:00:00 [kintegrityd]
root         25      2     25  0    1 11:32 ?        00:00:00 [kblockd]
root         26      2     26  0    1 11:32 ?        00:00:00 [ata_sff]
root         27      2     27  0    1 11:32 ?        00:00:00 [md]
root         28      2     28  0    1 11:32 ?        00:00:00 [edac-poller]
root         29      2     29  0    1 11:32 ?        00:00:00 [devfreq_wq]
root         30      2     30  0    1 11:32 ?        00:00:00 [watchdogd]
root         32      2     32  0    1 11:32 ?        00:00:03 [kworker/0:1]
root         34      2     34  0    1 11:32 ?        00:00:10 [kswapd0]
root         35      2     35  0    1 11:32 ?        00:00:00 [ecryptfs-kthrea]
root         77      2     77  0    1 11:32 ?        00:00:00 [kthrotld]
root         78      2     78  0    1 11:32 ?        00:00:00 [acpi_thermal_pm]
root         79      2     79  0    1 11:32 ?        00:00:00 [scsi_eh_0]
root         80      2     80  0    1 11:32 ?        00:00:00 [scsi_tmf_0]
root         81      2     81  0    1 11:32 ?        00:00:00 [scsi_eh_1]
root         82      2     82  0    1 11:32 ?        00:00:00 [scsi_tmf_1]
root         88      2     88  0    1 11:32 ?        00:00:00 [ipv6_addrconf]
root         89      2     89  0    1 11:32 ?        00:00:00 [kworker/0:2]
root         98      2     98  0    1 11:32 ?        00:00:00 [kstrp]
root        115      2    115  0    1 11:32 ?        00:00:00 [charger_manager]
